[2026-01-23T16:09:49.035+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012701.1 already exists. Skipping.
[2026-01-23T16:09:49.041+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012702.1 already exists. Skipping.
[2026-01-23T16:09:49.047+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012703.1 already exists. Skipping.
[2026-01-23T16:09:49.056+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012801.1 already exists. Skipping.
[2026-01-23T16:09:49.065+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012802.1 already exists. Skipping.
[2026-01-23T16:09:49.077+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012803.1 already exists. Skipping.
[2026-01-23T16:09:49.125+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012901.1 already exists. Skipping.
[2026-01-23T16:09:49.189+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012902.1 already exists. Skipping.
[2026-01-23T16:09:49.279+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012903.1 already exists. Skipping.
[2026-01-23T16:09:49.347+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013001.1 already exists. Skipping.
[2026-01-23T16:09:49.393+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013002.1 already exists. Skipping.
[2026-01-23T16:09:49.419+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013003.1 already exists. Skipping.
[2026-01-23T16:09:49.493+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013101.1 already exists. Skipping.
[2026-01-23T16:09:49.508+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013102.1 already exists. Skipping.
[2026-01-23T16:09:49.517+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013103.1 already exists. Skipping.
[2026-01-23T16:09:49.577+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020101.1 already exists. Skipping.
[2026-01-23T16:09:49.591+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020102.1 already exists. Skipping.
[2026-01-23T16:09:49.613+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020103.1 already exists. Skipping.
[2026-01-23T16:09:49.641+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020201.1 already exists. Skipping.
[2026-01-23T16:09:49.649+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020202.1 already exists. Skipping.
[2026-01-23T16:09:49.663+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020203.1 already exists. Skipping.
[2026-01-23T16:09:49.711+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020301.1 already exists. Skipping.
[2026-01-23T16:09:49.726+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020302.1 already exists. Skipping.
[2026-01-23T16:09:49.735+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020303.1 already exists. Skipping.
[2026-01-23T16:09:49.747+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020401.1 already exists. Skipping.
[2026-01-23T16:09:49.754+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020402.1 already exists. Skipping.
[2026-01-23T16:09:49.773+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020403.1 already exists. Skipping.
[2026-01-23T16:09:49.798+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020501.1 already exists. Skipping.
[2026-01-23T16:09:49.808+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020502.1 already exists. Skipping.
[2026-01-23T16:09:49.818+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020503.1 already exists. Skipping.
[2026-01-23T16:09:49.841+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020601.1 already exists. Skipping.
[2026-01-23T16:09:49.851+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020602.1 already exists. Skipping.
[2026-01-23T16:09:49.865+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020603.1 already exists. Skipping.
[2026-01-23T16:09:49.879+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020701.1 already exists. Skipping.
[2026-01-23T16:09:49.887+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020702.1 already exists. Skipping.
[2026-01-23T16:09:49.900+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020703.1 already exists. Skipping.
[2026-01-23T16:09:49.919+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020801.1 already exists. Skipping.
[2026-01-23T16:09:49.932+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020802.1 already exists. Skipping.
[2026-01-23T16:09:49.938+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020803.1 already exists. Skipping.
[2026-01-23T16:09:49.954+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020901.1 already exists. Skipping.
[2026-01-23T16:09:49.961+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020902.1 already exists. Skipping.
[2026-01-23T16:09:49.967+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020903.1 already exists. Skipping.
[2026-01-23T16:09:49.974+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021001.1 already exists. Skipping.
[2026-01-23T16:09:49.982+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021002.1 already exists. Skipping.
[2026-01-23T16:09:49.987+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021003.1 already exists. Skipping.
[2026-01-23T16:09:49.995+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021101.1 already exists. Skipping.
[2026-01-23T16:09:50.000+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021102.1 already exists. Skipping.
[2026-01-23T16:09:50.005+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021103.1 already exists. Skipping.
[2026-01-23T16:09:50.012+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021201.1 already exists. Skipping.
[2026-01-23T16:09:50.019+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021202.1 already exists. Skipping.
[2026-01-23T16:09:50.028+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021203.1 already exists. Skipping.
[2026-01-23T16:09:50.043+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021301.1 already exists. Skipping.
[2026-01-23T16:09:50.055+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021302.1 already exists. Skipping.
[2026-01-23T16:09:50.067+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021303.1 already exists. Skipping.
[2026-01-23T16:09:50.080+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021401.1 already exists. Skipping.
[2026-01-23T16:09:50.088+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021402.1 already exists. Skipping.
[2026-01-23T16:09:50.106+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021403.1 already exists. Skipping.
[2026-01-23T16:09:50.136+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021501.1 already exists. Skipping.
[2026-01-23T16:09:50.149+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021502.1 already exists. Skipping.
[2026-01-23T16:09:50.170+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021503.1 already exists. Skipping.
[2026-01-23T16:09:50.214+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021601.1 already exists. Skipping.
[2026-01-23T16:09:50.222+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021602.1 already exists. Skipping.
[2026-01-23T16:09:50.234+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021603.1 already exists. Skipping.
[2026-01-23T16:09:50.248+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021701.1 already exists. Skipping.
[2026-01-23T16:09:50.252+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021702.1 already exists. Skipping.
[2026-01-23T16:09:50.258+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021703.1 already exists. Skipping.
[2026-01-23T16:09:50.264+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021801.1 already exists. Skipping.
[2026-01-23T16:09:50.269+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021802.1 already exists. Skipping.
[2026-01-23T16:09:50.276+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021803.1 already exists. Skipping.
[2026-01-23T16:09:50.283+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021901.1 already exists. Skipping.
[2026-01-23T16:09:50.289+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021902.1 already exists. Skipping.
[2026-01-23T16:09:50.296+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025021903.1 already exists. Skipping.
[2026-01-23T16:09:50.305+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025022001.1 already exists. Skipping.
