[2026-01-22T18:29:45.463+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012902.1 already exists. Skipping.
[2026-01-22T18:29:45.481+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012903.1 already exists. Skipping.
[2026-01-22T18:29:45.515+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013001.1 already exists. Skipping.
[2026-01-22T18:29:45.546+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013002.1 already exists. Skipping.
[2026-01-22T18:29:45.580+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013003.1 already exists. Skipping.
[2026-01-22T18:29:45.652+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013101.1 already exists. Skipping.
[2026-01-22T18:29:45.674+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013102.1 already exists. Skipping.
[2026-01-22T18:29:45.757+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025013103.1 already exists. Skipping.
[2026-01-22T18:29:45.773+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020101.1 already exists. Skipping.
[2026-01-22T18:29:45.828+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020102.1 already exists. Skipping.
[2026-01-22T18:29:45.856+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020103.1 already exists. Skipping.
[2026-01-22T18:29:45.928+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020201.1 already exists. Skipping.
[2026-01-22T18:29:45.999+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020202.1 already exists. Skipping.
[2026-01-22T18:29:46.090+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020203.1 already exists. Skipping.
[2026-01-22T18:29:46.224+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020301.1 already exists. Skipping.
[2026-01-22T18:29:46.286+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020302.1 already exists. Skipping.
[2026-01-22T18:29:46.342+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020303.1 already exists. Skipping.
[2026-01-22T18:29:46.485+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020401.1 already exists. Skipping.
[2026-01-22T18:29:46.562+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020402.1 already exists. Skipping.
[2026-01-22T18:29:46.599+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020403.1 already exists. Skipping.
[2026-01-22T18:29:46.657+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020501.1 already exists. Skipping.
[2026-01-22T18:29:46.719+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020502.1 already exists. Skipping.
[2026-01-22T18:29:46.841+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020503.1 already exists. Skipping.
[2026-01-22T18:29:46.993+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020601.1 already exists. Skipping.
[2026-01-22T18:29:47.042+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020602.1 already exists. Skipping.
[2026-01-22T18:29:47.111+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020603.1 already exists. Skipping.
[2026-01-22T18:29:47.256+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/02/marginalpibc_2025020701.1 already exists. Skipping.
