[2026-01-23T16:09:48.635+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250324.1 already exists. Skipping download.
[2026-01-23T16:09:48.642+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250325.1 already exists. Skipping download.
[2026-01-23T16:09:48.649+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250326.1 already exists. Skipping download.
[2026-01-23T16:09:48.654+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250327.1 already exists. Skipping download.
[2026-01-23T16:09:48.667+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250328.1 already exists. Skipping download.
[2026-01-23T16:09:48.673+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250329.1 already exists. Skipping download.
[2026-01-23T16:09:48.682+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250330.1 already exists. Skipping download.
[2026-01-23T16:09:48.698+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250331.1 already exists. Skipping download.
[2026-01-23T16:09:48.705+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250401.1 already exists. Skipping download.
[2026-01-23T16:09:48.712+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250402.1 already exists. Skipping download.
[2026-01-23T16:09:48.719+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250403.1 already exists. Skipping download.
[2026-01-23T16:09:48.724+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250404.1 already exists. Skipping download.
[2026-01-23T16:09:48.731+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250405.1 already exists. Skipping download.
[2026-01-23T16:09:48.737+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250406.1 already exists. Skipping download.
[2026-01-23T16:09:48.744+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250407.1 already exists. Skipping download.
[2026-01-23T16:09:48.752+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250408.1 already exists. Skipping download.
