[2026-01-20T21:00:10.191+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250428.1 already exists. Skipping download.
[2026-01-20T21:00:10.196+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250429.1 already exists. Skipping download.
[2026-01-20T21:00:10.204+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250430.1 already exists. Skipping download.
[2026-01-20T21:00:10.208+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250501.1 already exists. Skipping download.
[2026-01-20T21:00:10.210+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250502.1 already exists. Skipping download.
[2026-01-20T21:00:10.213+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250503.1 already exists. Skipping download.
[2026-01-20T21:00:10.216+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250504.1 already exists. Skipping download.
[2026-01-20T21:00:10.220+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250505.1 already exists. Skipping download.
[2026-01-20T21:00:10.223+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250506.1 already exists. Skipping download.
[2026-01-20T21:00:10.227+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250507.1 already exists. Skipping download.
[2026-01-20T21:00:10.231+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250508.1 already exists. Skipping download.
[2026-01-20T21:00:10.235+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250509.1 already exists. Skipping download.
[2026-01-20T21:00:10.239+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250510.1 already exists. Skipping download.
[2026-01-20T21:00:10.243+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250511.1 already exists. Skipping download.
[2026-01-20T21:00:10.247+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250512.1 already exists. Skipping download.
[2026-01-20T21:00:10.250+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250513.1 already exists. Skipping download.
[2026-01-20T21:00:10.254+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250514.1 already exists. Skipping download.
[2026-01-20T21:00:10.257+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250515.1 already exists. Skipping download.
[2026-01-20T21:00:10.261+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250516.1 already exists. Skipping download.
[2026-01-20T21:00:10.263+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250517.1 already exists. Skipping download.
[2026-01-20T21:00:10.268+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250518.1 already exists. Skipping download.
[2026-01-20T21:00:10.272+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250519.1 already exists. Skipping download.
[2026-01-20T21:00:10.275+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250520.1 already exists. Skipping download.
[2026-01-20T21:00:10.280+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250521.1 already exists. Skipping download.
[2026-01-20T21:00:10.283+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250522.1 already exists. Skipping download.
[2026-01-20T21:00:10.287+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250523.1 already exists. Skipping download.
[2026-01-20T21:00:10.290+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250524.1 already exists. Skipping download.
[2026-01-20T21:00:10.295+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250525.1 already exists. Skipping download.
[2026-01-20T21:00:10.299+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/05/marginalpdbc_20250526.1 already exists. Skipping download.
